,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
2028,,275.72,0.0,0.0,1999.0,1999.0
2029,,0.0,0.0,0.0,0.0,0.0
2030,,1472.0,0.0,0.0,10672.0,10672.0
2031,,0.0,0.0,0.0,0.0,0.0
2032,,132.41,0.0,0.0,960.0,960.0
2033,,0.0,0.0,0.0,322.6,322.6
2034,,0.0,0.0,0.0,0.0,0.0
2035,,1379.31,0.0,0.0,10000.0,10000.0
2036,,0.0,0.0,0.0,0.0,0.0
2037,,376.0,0.0,0.0,2726.0,2726.0
2038,,3.16,0.0,0.0,22.92,22.92
2039,,14.22,0.0,0.0,103.09,103.09
2040,,46.8,0.0,0.0,339.3,339.3
2041,,25.28,0.0,0.0,183.28,183.28
2042,,259.57,0.0,0.0,1881.87,1881.87
2043,,651.66,0.0,0.0,4724.4800000000005,4724.48
2044,,55.03,0.0,0.0,0.0,499.0
2045,,55.03,0.0,0.0,399.0,399.0
2046,,384.9,0.0,0.0,2849.4,2983.6
2047,,12.66,0.0,0.0,91.78,91.78
2048,,46.4,0.0,0.0,336.4,336.4
2049,,1018.71,0.0,382.01,7003.61,7003.61
2050,,811.81,0.0,0.0,6291.530000000001,6291.53
2051,,2848.97,0.0,26.5,19586.68,19586.68
2052,,156.8,0.0,0.0,1136.8,1136.8
2053,,997.6,0.0,0.0,7232.6,7232.6
2054,,270.08,0.0,0.0,1958.09,1958.09
2055,,38.7,0.0,0.0,280.56,280.56
2056,,885.6,0.0,0.0,6420.6,6420.6
2057,,2290.47,0.0,858.92,15746.960000000001,15746.96
2058,,156.92,0.0,0.0,1137.64,1137.64
2059,,2819.2,0.0,0.0,20439.2,20439.2
2060,,0.0,0.0,0.0,0.0,0.0
2061,,0.0,0.0,0.0,0.0,0.0
2062,,320.0,0.0,0.0,2320.0,2320.0
2063,,689.66,0.0,0.0,5000.0,5000.0
2064,,0.0,0.0,0.0,10804.85,10804.85
2065,,384.9,3.5,26.5,28600.0,28600.0
2066,,26.94,0.0,0.0,200.0,200.0
2067,,24.52,0.0,0.0,177.75,177.75
2068,,39.22,0.0,0.0,284.32,284.32
2069,,1190.02,0.0,0.0,8627.62,8627.62
2070,,0.0,0.0,0.0,0.0,2460.55
2071,,0.0,0.0,0.0,216.0,216.0
2072,,0.0,0.0,0.0,0.0,0.0
2073,,446.08,0.0,0.0,3234.08,3234.08
2074,,0.0,0.0,0.0,0.0,0.0
2075,,41.38,0.0,0.0,0.0,358.0
2076,,41.38,0.0,0.0,300.01,300.01
2077,,0.0,0.0,0.0,123.0,123.0
2078,,0.0,0.0,0.0,0.0,0.0
2079,,560.52,0.0,0.0,4063.77,4063.77
2080,,0.0,0.0,0.0,0.0,0.0
2081,,266.07,0.0,0.0,1929.02,1929.02
2082,,1473.42,0.0,0.0,10682.32,10682.32
2083,,0.0,0.0,0.0,0.0,0.0
2084,,3.37,0.0,0.0,24.42,24.42
2085,,144.0,0.0,0.0,1044.0,1044.0
2086,,17.44,0.0,3.3,123.17,123.17
2087,,56.32,0.0,0.0,408.32,408.32
2088,,0.0,0.0,0.0,0.0,0.0
2089,,572.98,0.0,0.0,4154.110000000001,4154.11
2090,,127.61,0.0,0.0,925.19,925.19
2091,,1320.0,0.0,0.0,9570.0,9570.0
2092,,256.0,0.0,0.0,1856.0,1856.0
2093,,114.4,0.0,0.0,829.4,829.4
2094,,60.61,0.0,0.0,450.0,450.0
2095,,40.19,0.0,0.0,300.0,300.0
2096,,98.88,0.0,0.0,716.88,716.88
2097,,3.95,0.0,0.0,28.63,28.63
2098,,705.22,0.0,0.0,5112.76,5112.76
2099,,1396.0,0.0,0.0,10121.0,10121.0
2100,,560.52,0.0,0.0,4063.77,4063.77
2101,,896.58,0.0,0.0,6500.18,6500.18
2102,,0.0,0.0,0.0,0.0,0.0
2103,,944.29,0.0,0.0,6846.09,6846.09
2104,,1118.84,0.0,419.56,7692.0,7692.0
2105,,2848.97,0.0,26.5,19586.68,19586.68
2106,,20.22,0.0,0.0,150.0,150.0
2107,,262.07,0.0,0.0,1900.0,1900.0
2108,,0.0,0.0,0.0,0.0,0.0
2109,,284.18,0.0,0.0,2060.35,2060.35
2110,,17.22,0.0,0.0,124.82,124.82
2111,,1379.31,0.0,0.0,10000.0,10000.0
2112,,2455.91,0.0,920.96,16884.36,16884.36
2113,,0.0,0.0,0.0,0.0,0.0
2114,,0.0,0.0,0.0,0.0,0.0
2115,,0.0,0.0,0.0,15375.36,15375.36
2116,,0.0,0.0,0.0,0.0,0.0
2117,,35.56,0.0,0.0,257.82,257.82
2118,,55.03,0.0,0.0,398.99,398.99
2119,,0.0,0.0,0.0,0.0,0.0
2120,,0.0,0.0,0.0,0.0,2212.25
2121,,0.0,0.0,0.0,0.0,459.2
2122,,0.0,0.0,0.0,144.0,144.0
2123,,384.9,0.0,0.0,2849.4,2983.6
2124,,283.2,0.0,0.0,2053.2,2053.2
2125,,94.28,0.0,0.0,700.0,700.0
2126,,37.97,0.0,0.0,275.28,275.28
2127,,2094.09,0.0,0.0,15182.13,15182.13
2128,,0.0,0.0,0.0,0.0,0.0
2129,,0.0,0.0,0.0,0.0,0.0
2130,,0.0,0.0,0.0,2822.43,2822.43
2131,,0.0,0.0,0.0,0.0,0.0
2132,,384.32,0.0,0.0,2786.32,2786.32
2133,,0.0,0.0,0.0,0.0,0.0
2134,,90.88,0.0,0.0,20658.88,20658.88
2135,,40.4,0.0,0.0,300.0,300.0
2136,,10.12,0.0,0.0,73.36,73.36
2137,,280.0,0.0,0.0,2030.0,2030.0
2138,,6.74,0.0,0.0,50.0,50.0
2139,,192.79,0.0,0.0,1397.75,1397.75
